N	Sequential	Inverted
85	0.01169551257044076920	0.01169575098901987076
86	0.01156032923609018326	0.01156056765466928482
87	0.01142824534326791763	0.01142848376184701920
88	0.01129914168268442154	0.01129926089197397232
89	0.01117289904505014420	0.01117313746362924576
90	0.01104939822107553482	0.01104963663965463638
91	0.01092863921076059341	0.01092887762933969498
92	0.01081050280481576920	0.01081074122339487076
93	0.01069486979395151138	0.01069510821253061295
94	0.01058174017816781998	0.01058185938745737076
95	0.01047099474817514420	0.01047111395746469498
96	0.01036251429468393326	0.01036263350397348404
97	0.01025617960840463638	0.01025629881769418716
98	0.01015210989862680435	0.01015222910791635513
99	0.01005006674677133560	0.01005018595606088638
100	0.00995005015283823013	0.00995016936212778091
101	0.00985206011682748795	0.00985217932611703873
102	0.00975597742944955826	0.00975597742944955826
103	0.00966168288141489029	0.00966180209070444107
104	0.00956917647272348404	0.00956929568201303482
105	0.00947845820337533951	0.00947857741266489029
106	0.00938940886408090591	0.00938964728266000748
107	0.00930202845484018326	0.00930226687341928482
108	0.00921631697565317154	0.00921655539423227310
109	0.00913215521723031998	0.00913239363580942154
110	0.00904954317957162857	0.00904978159815073013
111	0.00896836165338754654	0.00896860007196664810
112	0.00888861063867807388	0.00888884905725717545
113	0.00881029013544321060	0.00881052855402231216
114	0.00873340014368295670	0.00873363856226205826
115	0.00865782145410776138	0.00865794066339731216
116	0.00858355406671762466	0.00858367327600717545
117	0.00851047877222299576	0.00851059798151254654
118	0.00843871477991342545	0.00843871477991342545
119	0.00836814288049936295	0.00836814288049936295
120	0.00829864386469125748	0.00829876307398080826
121	0.00823033694177865982	0.00823045615106821060
122	0.00816310290247201920	0.00816322211176156998
123	0.00809706095606088638	0.00809718016535043716
124	0.00803197268396615982	0.00803209189325571060
125	0.00796795729547739029	0.00796807650476694107
126	0.00790501479059457779	0.00790513399988412857
127	0.00784302596002817154	0.00784314516931772232
128	0.00778199126943945885	0.00778211047872900963
129	0.00772190978750586510	0.00772202899679541588
130	0.00766278197988867760	0.00766278197988867760
131	0.00760448863729834557	0.00760448863729834557
132	0.00754714896902441978	0.00754714896902441978
133	0.00749064376577734947	0.00749064376577734947
134	0.00743497302755713463	0.00743497302755713463
135	0.00738013675436377525	0.00738001754507422447
136	0.00732601573690772057	0.00732601573690772057
137	0.00727272918447852135	0.00727272918447852135
138	0.00722027709707617760	0.00722015788778662682
139	0.00716854026541113853	0.00716842105612158775
140	0.00711751868948340416	0.00711739948019385338
141	0.00706721236929297447	0.00706709316000342369
142	0.00701762130483984947	0.00701750209555029869
143	0.00696874549612402916	0.00696862628683447838
144	0.00692046573385596275	0.00692046573385596275
145	0.00687290122732520103	0.00687278201803565025
146	0.00682593276724219322	0.00682593276724219322
147	0.00677967956289649010	0.00677967956289649010
148	0.00673402240499854088	0.00673402240499854088
149	0.00668896129354834557	0.00668896129354834557
150	0.00664449622854590416	0.00664449622854590416
151	0.00660062720999121666	0.00660062720999121666
152	0.00655735423788428307	0.00655735423788428307
153	0.00651467731222510338	0.00651467731222510338
154	0.00647247722372412682	0.00647247722372412682
155	0.00643087318167090416	0.00643087318167090416
156	0.00638974597677588463	0.00638974597677588463
157	0.00634921481832861900	0.00634921481832861900
158	0.00630916049703955650	0.00630916049703955650
159	0.00626958301290869713	0.00626958301290869713
160	0.00623048236593604088	0.00623048236593604088
161	0.00619185855612158775	0.00619197776541113853
162	0.00615371158346533775	0.00615383079275488853
163	0.00611604144796729088	0.00611616065725684166
164	0.00607884814962744713	0.00607908656820654869
165	0.00604213168844580650	0.00604225089773535728
166	0.00600589206442236900	0.00600601127371191978
167	0.00597001006826758385	0.00597012927755713463
168	0.00593460490927100182	0.00593472411856055260
169	0.00589955737814307213	0.00589967658743262291
170	0.00586498668417334557	0.00586510589346289635
171	0.00583077361807227135	0.00583089282736182213
172	0.00579691817983984947	0.00579703738912940025
173	0.00576353957876563072	0.00576365878805518150
174	0.00573051860556006432	0.00573063781484961510
175	0.00569785526022315025	0.00569797446951270103
176	0.00566554954275488853	0.00566566875204443932
177	0.00563360145315527916	0.00563383987173438072
178	0.00560201099142432213	0.00560224941000342369
179	0.00557077815756201744	0.00557101657614111900
180	0.00553990295156836510	0.00554014137014746666
181	0.00550938537344336510	0.00550962379202246666
182	0.00547922542318701744	0.00547946384176611900
183	0.00544942310079932213	0.00544966151937842369
184	0.00541985919699072838	0.00542009761556982994
185	0.00539065292105078697	0.00539077213034033775
186	0.00536180427297949791	0.00536192348226904869
187	0.00533319404348731041	0.00533331325277686119
188	0.00530494144186377525	0.00530506065115332603
189	0.00527692725881934166	0.00527704646810889244
190	0.00524927070364356041	0.00524938991293311119
191	0.00522185256704688072	0.00522197177633643150
192	0.00519467284902930260	0.00519479205831885338
193	0.00516785075888037682	0.00516796996816992760
194	0.00514126708731055260	0.00514138629660010338
195	0.00511492183431982994	0.00511516025289893150
196	0.00508893420919775963	0.00508905341848731041
197	0.00506318500265479088	0.00506330421194434166
198	0.00503767421469092369	0.00503779342398047447
199	0.00501240184530615807	0.00501252105459570885
200	0.00498736789450049400	0.00498760631307959557
201	0.00496257236227393150	0.00496281078085303307
202	0.00493801524862647057	0.00493825366720557213
203	0.00491369655355811119	0.00491405418142676353
204	0.00488961627706885338	0.00488997390493750572
205	0.00486577441915869713	0.00486625125631690025
206	0.00484217097982764244	0.00484264781698584557
207	0.00481880595907568932	0.00481928279623389244
208	0.00479567935690283775	0.00479615619406104088
209	0.00477279117330908775	0.00477326801046729088
210	0.00475014140829443932	0.00475061824545264244
