t	y1	y2	y3	y4	y5	y6	y7	y8	y9	y10	y11	y12	y13	y14	y15	y16	y17	y18
0.68	0.912614	0.0990079	-0.0990079	-0.912614	-0.0990079	0.0990079	0	0	0	-0.267426	0.135804	-0.135804	0.267426	-0.135804	0.135804	0	0	0
0.69	0.909939	0.100366	-0.100366	-0.909939	-0.100366	0.100366	0	0	0	-0.271774	0.135332	-0.135332	0.271774	-0.135332	0.135332	0	0	0
0.7	0.907222	0.101719	-0.101719	-0.907222	-0.101719	0.101719	0	0	0	-0.276143	0.134851	-0.134851	0.276143	-0.134851	0.134851	0	0	0
0.71	0.90446	0.103068	-0.103068	-0.90446	-0.103068	0.103068	0	0	0	-0.280533	0.134358	-0.134358	0.280533	-0.134358	0.134358	0	0	0
0.72	0.901655	0.104411	-0.104411	-0.901655	-0.104411	0.104411	0	0	0	-0.284944	0.133856	-0.133856	0.284944	-0.133856	0.133856	0	0	0
0.73	0.898805	0.10575	-0.10575	-0.898805	-0.10575	0.10575	0	0	0	-0.289377	0.133342	-0.133342	0.289377	-0.133342	0.133342	0	0	0
0.74	0.895912	0.107083	-0.107083	-0.895912	-0.107083	0.107083	0	0	0	-0.293832	0.132818	-0.132818	0.293832	-0.132818	0.132818	0	0	0
0.75	0.892973	0.108412	-0.108412	-0.892973	-0.108412	0.108412	0	0	0	-0.298311	0.132283	-0.132283	0.298311	-0.132283	0.132283	0	0	0
0.76	0.88999	0.109734	-0.109734	-0.88999	-0.109734	0.109734	0	0	0	-0.302813	0.131736	-0.131736	0.302813	-0.131736	0.131736	0	0	0
0.77	0.886962	0.111052	-0.111052	-0.886962	-0.111052	0.111052	0	0	0	-0.30734	0.131178	-0.131178	0.30734	-0.131178	0.131178	0	0	0
0.78	0.883889	0.112363	-0.112363	-0.883889	-0.112363	0.112363	0	0	0	-0.311891	0.130608	-0.130608	0.311891	-0.130608	0.130608	0	0	0
0.79	0.88077	0.11367	-0.11367	-0.88077	-0.11367	0.11367	0	0	0	-0.316467	0.130027	-0.130027	0.316467	-0.130027	0.130027	0	0	0
0.8	0.877605	0.11497	-0.11497	-0.877605	-0.11497	0.11497	0	0	0	-0.321069	0.129433	-0.129433	0.321069	-0.129433	0.129433	0	0	0
0.81	0.874394	0.116264	-0.116264	-0.874394	-0.116264	0.116264	0	0	0	-0.325698	0.128826	-0.128826	0.325698	-0.128826	0.128826	0	0	0
0.82	0.871137	0.117552	-0.117552	-0.871137	-0.117552	0.117552	0	0	0	-0.330353	0.128207	-0.128207	0.330353	-0.128207	0.128207	0	0	0
0.83	0.867834	0.118834	-0.118834	-0.867834	-0.118834	0.118834	0	0	0	-0.335037	0.127575	-0.127575	0.335037	-0.127575	0.127575	0	0	0
0.84	0.864484	0.12011	-0.12011	-0.864484	-0.12011	0.12011	0	0	0	-0.339748	0.12693	-0.12693	0.339748	-0.12693	0.12693	0	0	0
0.85	0.861086	0.12138	-0.12138	-0.861086	-0.12138	0.12138	0	0	0	-0.344489	0.126271	-0.126271	0.344489	-0.126271	0.126271	0	0	0
0.86	0.857641	0.122642	-0.122642	-0.857641	-0.122642	0.122642	0	0	0	-0.349259	0.125599	-0.125599	0.349259	-0.125599	0.125599	0	0	0
0.87	0.854149	0.123898	-0.123898	-0.854149	-0.123898	0.123898	0	0	0	-0.35406	0.124912	-0.124912	0.35406	-0.124912	0.124912	0	0	0
0.88	0.850608	0.125147	-0.125147	-0.850608	-0.125147	0.125147	0	0	0	-0.358892	0.124212	-0.124212	0.358892	-0.124212	0.124212	0	0	0
0.89	0.847019	0.126389	-0.126389	-0.847019	-0.126389	0.126389	0	0	0	-0.363756	0.123496	-0.123496	0.363756	-0.123496	0.123496	0	0	0
0.9	0.843381	0.127624	-0.127624	-0.843381	-0.127624	0.127624	0	0	0	-0.368652	0.122765	-0.122765	0.368652	-0.122765	0.122765	0	0	0
0.91	0.839695	0.128852	-0.128852	-0.839695	-0.128852	0.128852	0	0	0	-0.373582	0.122019	-0.122019	0.373582	-0.122019	0.122019	0	0	0
0.92	0.835959	0.130072	-0.130072	-0.835959	-0.130072	0.130072	0	0	0	-0.378545	0.121258	-0.121258	0.378545	-0.121258	0.121258	0	0	0
0.93	0.832174	0.131285	-0.131285	-0.832174	-0.131285	0.131285	0	0	0	-0.383544	0.12048	-0.12048	0.383544	-0.12048	0.12048	0	0	0
0.94	0.828338	0.13249	-0.13249	-0.828338	-0.13249	0.13249	0	0	0	-0.388579	0.119686	-0.119686	0.388579	-0.119686	0.119686	0	0	0
